Actions: [(5,), (6,), (1,), (2,), (4,), (3,), (5, 6), (5, 1), (5, 2), (5, 4), (5, 3), (6, 1), (6, 2), (6, 4), (6, 3), (1, 2), (1, 4), (1, 3), (2, 4), (2, 3), (4, 3)]
Episode 0 of 40000
         2505781 function calls (2451342 primitive calls) in 20.422 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      938    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
     1808    0.003    0.000    0.019    0.000 profiler.py:426(__init__)
    16319    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
 1051/353    0.003    0.000    1.080    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      978    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      115    0.003    0.000    0.003    0.000 {built-in method builtins.compile}
       58    0.003    0.000    0.007    0.000 __init__.py:328(namedtuple)
     2218    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      586    0.003    0.000    0.004    0.000 _inspect.py:65(getargs)
      878    0.003    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      964    0.003    0.000    0.006    0.000 enum.py:89(__setitem__)
     8099    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     1755    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      529    0.003    0.000    0.004    0.000 typing.py:206(_collect_type_vars)
     9012    0.003    0.000    0.004    0.000 {built-in method builtins.setattr}
    33434    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
     9066    0.003    0.000    0.003    0.000 {built-in method math.sqrt}
2470/2263    0.003    0.000    0.058    0.000 typing.py:306(inner)
     7670    0.003    0.000    0.006    0.000 sre_parse.py:255(get)
    19347    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     6954    0.003    0.000    0.003    0.000 {built-in method torch._C.is_grad_enabled}
        3    0.003    0.001    0.003    0.001 {built-in method torch.cuda._get_device_properties}
      105    0.002    0.000    0.011    0.000 artist.py:170(<listcomp>)
      876    0.002    0.000    0.115    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     7936    0.002    0.000    0.002    0.000 {built-in method numpy.asanyarray}
      317    0.002    0.000    0.019    0.000 overrides.py:142(decorator)
       11    0.002    0.000    0.003    0.000 {method 'readlines' of '_io._IOBase' objects}
     1808    0.002    0.000    0.010    0.000 grad_mode.py:82(clone)
      904    0.002    0.000    0.058    0.000 loss.py:920(forward)
     6744    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     4481    0.002    0.000    0.009    0.000 {built-in method builtins.sorted}
       10    0.002    0.000    0.002    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
